en	fr
Resumption of the session	Reprise de la session
I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.	Je déclare reprise la session du Parlement européen qui avait été interrompue le vendredi 17 décembre dernier et je vous renouvelle tous mes vux en espérant que vous avez passé de bonnes vacances.
Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.	"Comme vous avez pu le constater, le grand "bogue de l’an 2000" ne s’est pas produit." En revanche, les citoyens d’un certain nombre de nos pays ont été victimes de catastrophes naturelles qui ont vraiment été terribles.
You have requested a debate on this subject in the course of the next few days, during this part-session.	Vous avez souhaité un débat à ce sujet dans les prochains jours, au cours de cette période de session.
In the meantime, I should like to observe a minute’s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.	En attendant, je souhaiterais, comme un certain nombre de collègues me l’ont demandé, que nous observions une minute de silence pour toutes les victimes, des tempêtes notamment, dans les différents pays de l’Union européenne qui ont été touchés.
Please rise, then, for this minute’s silence.	Je vous invite à vous lever pour cette minute de silence.
(The House rose and observed a minute’s silence)	(Le Parlement, debout, observe une minute de silence)
Madam President, on a point of order.	Madame la Présidente, c’est une motion de procédure.
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.	Vous avez probablement appris par la presse et par la télévision que plusieurs attentats à la bombe et crimes ont été perpétrés au Sri Lanka.
One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.	L’une des personnes qui vient d’être assassinée au Sri Lanka est M. Kumar Ponnambalam, qui avait rendu visite au Parlement européen il y a quelques mois à peine.
Would it be appropriate for you, Madam President, to write a letter to the Sri Lankan President expressing Parliament’s regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation ?	Ne pensez-vous pas, Madame la Présidente, qu’il conviendrait d’écrire une lettre au président du Sri Lanka pour lui communiquer que le Parlement déplore les morts violentes, dont celle de M. Ponnambalam, et pour l’inviter instamment à faire tout ce qui est en son pouvoir pour chercher une réconciliation pacifique et mettre un terme à cette situation particulièrement difficile.
Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.	Oui, Monsieur Evans, je pense qu’une initiative dans le sens que vous venez de suggérer serait tout à fait appropriée.
If the House agrees, I shall do as Mr Evans has suggested.	Si l’Assemblée en est d’accord, je ferai comme M. Evans l’a suggéré.
Madam President, on a point of order.	Madame la Présidente, c’est une motion de procédure.
I would like your advice about Rule 143 concerning inadmissibility.	Je voudrais vous demander un conseil au sujet de l’article 143, qui concerne l’irrecevabilité.
My question relates to something that will come up on Thursday and which I will then raise again.	Ma question porte sur un sujet qui est à l’ordre du jour du jeudi et que je soulèverai donc une nouvelle fois.
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.	Le paragraphe 6 du rapport Cunha sur les programmes d’orientation pluriannuels, qui sera soumis au Parlement ce jeudi, propose d’introduire des sanctions applicables aux pays qui ne respectent pas les objectifs annuels de réduction de leur flotte.
It says that this should be done despite the principle of relative stability.	Il précise que cela devrait être fait malgré le principe de stabilité relative.
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.	À mon sens, le principe de stabilité relative est un principe juridique fondamental de la politique commune de la pêche et toute proposition le bouleversant serait juridiquement irrecevable.
I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.	Je voudrais savoir si l’on peut avancer une objection de ce type à ce qui n’est qu’un rapport, pas une proposition législative, et si je suis habilité à le faire ce jeudi.
That is precisely the time when you may, if you wish, raise this question, i. e. on Thursday prior to the start of the presentation of the report.	C’est exactement à ce moment -là que vous pourrez, en effet, si vous le souhaitez, soulever cette question, c’est-à-dire jeudi avant le début de la présentation du rapport.
Madam President, coinciding with this year’s first part-session of the European Parliament, a date has been set, unfortunately for next Thursday, in Texas in America, for the execution of a young 34 year-old man who has been sentenced to death.	Madame la Présidente, alors que se déroule la première session de l’année du Parlement européen, l’exécution d’un condamné à mort au Texas aux États-Unis, un jeune homme de 34 ans appelé Hicks, a été fixée, malheureusement, à jeudi prochain.
